No Profile Tanggal Jam O3 CO NO2 SO2 NO CO2 VOC PM1 PM2.5 PM4 PM10 TSP TEMP HUM WS WD ISPU Status 
23 BANDUNG 2019-05-19 05:49:19 5.19 0.47 22.06 28.38 53.853 389.82 252.317 0 0 0 5.73 0 17 100 0.15 5 18 BAIK 
24 BANDUNG 2019-05-19 06:04:19 10.86 0.64 23.14 3.52 38.304 398.02 252.185 0 0 0 1.45 0 18.8 100 0.3 5 6 BAIK 
25 BANDUNG 2019-05-19 06:19:19 1.64 0.91 23.14 28.53 26.927 407.04 252.101 0 0 0 11.53 0 19.2 100 0.075 5 18 BAIK 
26 BANDUNG 2019-05-19 06:34:19 12.45 0.88 27.1 24.16 50.819 398.72 252.127 0 0 0 2.74 0 19.4 100 0.225 5 15 BAIK 
27 BANDUNG 2019-05-19 06:49:19 21.5 0.6 19.36 15.12 32.615 396.66 251.803 0 0 0 0.98 0 18.1 98.8 0.45 5 9 BAIK 
28 BANDUNG 2019-05-19 07:04:18 14.41 0.38 17.93 1.31 65.61 402.4 251.464 0 0 0 2.73 0 20.7 95.8 0.375 5 6 BAIK 
29 BANDUNG 2019-05-19 07:19:19 10.06 0.25 18.11 12.41 43.613 386.52 251.391 0 0 0 2.03 0 22.2 87.4 0.075 5 8 BAIK 
30 BANDUNG 2019-05-19 07:34:19 1.96 0.25 25.84 24.61 54.232 383.28 251.392 0 0 0 1.72 0 22.4 86.6 0.15 5 15 BAIK 
31 BANDUNG 2019-05-19 07:49:19 18.01 0.2 16.31 31.85 52.336 387.1 251.826 0 0 0 3.25 0 23.5 73 0.075 5 20 BAIK 
32 BANDUNG 2019-05-19 08:04:19 13.24 0.17 31.23 22.8 57.646 390.7 250.947 0 0 0 8.53 0 24.6 76.5 0.075 5 14 BAIK 
33 BANDUNG 2019-05-19 08:19:19 18.49 0.16 24.58 25.07 27.306 390.62 249.905 0 0 0 2.99 0 21.4 68.5 0 4 16 BAIK 
34 BANDUNG 2019-05-19 08:34:19 8.48 0.06 28 6.83 33.374 385.5 250.003 0 0 0 1.2 0 25 71 2.625 5 5 BAIK 
35 BANDUNG 2019-05-19 08:49:19 1.32 0.04 25.48 14.67 31.478 392.12 250.071 0 0 0 2.59 0 25.7 67.4 0.675 3 9 BAIK 
36 BANDUNG 2019-05-19 09:04:19 4.4 0.09 32.67 14.06 40.2 408.84 249.856 0 0 0 1.35 0 26.4 65.5 0 6 9 BAIK 
37 BANDUNG 2019-05-19 09:19:19 5.83 0.08 36.63 7.43 36.787 382.64 249.199 0 0 0 0.96 0 27.6 60.9 1.35 7 6 BAIK 
38 BANDUNG 2019-05-19 09:30:34 12.5 0.06 26.02 12.26 23.513 388.23 1993.18 0 0 0 5.27 0 223 454 0 5 8 BAIK 
39 BANDUNG 2019-05-19 09:49:19 10.22 0.11 27.64 18.89 36.408 393.41 248.983 0 0 0 7.25 0 28.2 57.1 3.3 5 12 BAIK 
40 BANDUNG 2019-05-19 10:04:19 4.71 0.09 24.58 12.11 20.859 391.68 248.029 0 0 0 16.9 0 28.1 55.8 1.275 4 17 BAIK 
41 BANDUNG 2019-05-19 10:19:20 7.52 0.04 19.9 10.9 9.481 383.52 247.899 0 0 0 6.48 0 29.8 50.3 1.575 5 7 BAIK 
42 BANDUNG 2019-05-19 10:34:19 1.22 0.03 21.34 9.85 20.479 405.49 246.911 0 0 0 1.37 0 30.2 49.9 0.15 7 6 BAIK 
43 BANDUNG 2019-05-19 10:49:19 6.62 0.04 18.64 6.98 21.617 405.01 248.062 0 0 0 0.94 0 29.8 49.4 0.45 4 4 BAIK 
44 BANDUNG 2019-05-19 11:04:19 4.24 0.06 22.24 8.19 22.755 391.75 248.728 0 0 0 3.31 0 30.5 46.8 1.575 12 5 BAIK 
45 BANDUNG 2019-05-19 11:19:19 6.14 0.07 22.78 12.71 19.342 406.25 248.847 0 0 0 7.96 0 30.7 46.9 1.05 5 8 BAIK 
46 BANDUNG 2019-05-19 11:34:19 4.08 0.11 22.78 3.82 9.86 408.02 248.611 0 0 0 3.79 0 29.7 48.5 3.675 4 4 BAIK 
47 BANDUNG 2019-05-19 11:49:19 14.09 0.09 24.76 14.37 7.964 379.7 248.464 0 0 0 3.42 0 30.4 46.2 1.05 9 9 BAIK 
48 BANDUNG 2019-05-19 12:04:19 0.85 0.07 24.22 6.83 11.377 393.34 248.61 0 0 0 7.03 0 31.2 44.8 4.425 15 7 BAIK 
49 BANDUNG 2019-05-19 12:19:18 5.99 0.04 24.58 3.52 18.962 403.43 248.399 0 0 0 14.65 0 29.7 49.5 0 4 15 BAIK 
50 BANDUNG 2019-05-19 12:34:19 6.3 0.24 22.42 3.67 20.479 392.12 248.748 0 0 0 13.68 0 29.5 50.2 3.375 10 14 BAIK 
51 BANDUNG 2019-05-19 12:49:19 8.05 0.19 28.18 7.89 11.757 380.44 248.819 0 0 0 1.88 0 29.9 49.2 0.15 8 5 BAIK 
52 BANDUNG 2019-05-19 13:04:19 9.48 0.12 18.82 10 25.41 396.42 249.128 0 0 0 10.18 0 30.7 47.2 0 7 10 BAIK 
53 BANDUNG 2019-05-19 13:19:18 0.05 0.18 19.54 12.41 8.723 406.59 249.154 0 0 0 6.17 0 30.8 49.1 5.85 12 8 BAIK 
54 BANDUNG 2019-05-19 13:34:19 0.27 0.22 17.57 1.86 25.03 403.88 249.036 0 0 0 3.24 0 32.2 47.5 5.475 12 3 BAIK 
55 BANDUNG 2019-05-19 13:49:19 4.03 0.3 20.8 11.5 4.172 409.57 249.15 0 0 0 6.22 0 31.8 47.7 7.35 12 7 BAIK 
56 BANDUNG 2019-05-19 14:04:19 5.19 0.33 24.04 7.89 12.894 402.84 249.027 0 0 0 2.59 0 31.2 53.1 6.3 12 5 BAIK 
57 BANDUNG 2019-05-19 14:19:19 7.42 0.32 33.75 7.59 12.894 391.17 249.02 0 0 0 9.76 0 30.8 55.7 7.8 12 10 BAIK 
58 BANDUNG 2019-05-19 14:34:19 8.53 0.33 23.5 10.9 8.723 380.5 249.181 0 0 0 15.63 0 30.4 51 5.4 12 16 BAIK 
59 BANDUNG 2019-05-19 14:49:19 5.83 0.31 25.66 3.52 15.549 391.84 249.045 0 0 0 3.76 0 29.8 59.2 0.3 12 5 BAIK 
60 BANDUNG 2019-05-19 15:04:19 3.23 0.31 37.17 5.63 7.585 384.64 248.806 0 0 0 6.84 0 29.2 60.1 7.425 13 7 BAIK 
61 BANDUNG 2019-05-19 15:19:19 1.85 0.29 17.39 9.24 32.236 397.6 249.791 0 0 0 0.85 0 29.1 61.6 6.525 13 6 BAIK 
62 BANDUNG 2019-05-19 15:34:18 2.49 0.28 16.67 13.16 17.066 385.64 249.631 0 0 0 1.54 0 28.4 63.7 4.2 13 8 BAIK 
63 BANDUNG 2019-05-19 15:49:19 5.61 0.28 24.4 9.24 27.685 405.28 249.801 0 0 0 12.31 0 28.3 64.9 2.4 13 12 BAIK 
64 BANDUNG 2019-05-19 16:04:18 1.48 0.25 19.18 21.15 31.478 404.43 250.026 0 0 0 14.16 0 28.9 62.6 2.4 12 14 BAIK 
65 BANDUNG 2019-05-19 16:19:19 4.03 0.26 19.9 11.5 38.683 391.96 250.187 0 0 0 0.9 0 27.9 67.2 5.475 13 7 BAIK 
66 BANDUNG 2019-05-19 16:34:19 1.7 0.23 30.69 11.05 11.757 401.14 249.984 0 0 0 1.1 0 27.7 68.7 4.2 12 7 BAIK 
67 BANDUNG 2019-05-19 16:49:18 2.49 0.37 12.35 5.93 36.787 392.26 250.479 0 0 0 3.87 0 27.8 68.4 1.575 13 4 BAIK 
68 BANDUNG 2019-05-19 17:04:18 0.85 0.35 23.14 13.76 42.476 397.58 250.924 0 0 0 2.87 0 27.3 70.2 0.975 12 9 BAIK 
69 BANDUNG 2019-05-19 17:19:19 7.68 0.39 22.6 11.8 69.023 393.95 251.337 0 0 0 3.02 0 27 72.1 0.975 13 7 BAIK 
70 BANDUNG 2019-05-19 17:34:19 2.44 0.56 1.92 23.41 17.445 384.64 249.962 0 0 0 1.25 0 26.8 72.6 1.275 14 15 BAIK 
71 BANDUNG 2019-05-19 17:49:19 6.09 0.35 19.72 16.93 23.513 384.42 250.18 0 0 0 2.56 0 26.4 75.3 1.05 14 11 BAIK 
72 BANDUNG 2019-05-19 18:04:18 0.37 0.38 17.21 28.98 41.338 384.25 250.486 0 0 0 7.29 0 26.3 76.3 0.45 11 18 BAIK 
73 BANDUNG 2019-05-19 18:19:18 3.28 0.26 23.86 13.61 28.064 405.96 250.655 0 0 0 12.59 0 26 79.9 1.8 14 13 BAIK 
74 BANDUNG 2019-05-19 18:34:18 1.06 0.26 25.3 21.45 25.41 396.11 250.753 0 0 0 0.77 0 25.9 78.7 0.675 14 13 BAIK 
75 BANDUNG 2019-05-19 18:49:18 3.87 0.35 18.28 5.02 37.166 383.41 249.276 0 0 0 6.96 0 23.4 70.8 1.35 13 7 BAIK 
76 BANDUNG 2019-05-19 19:04:19 5.14 0.39 13.97 16.63 45.889 383.8 250.296 0 0 0 5.11 0 26 77.2 2.1 14 10 BAIK 
77 BANDUNG 2019-05-19 19:19:18 0.37 0.33 14.87 16.78 50.819 380.65 250.155 0 0 0 2.73 0 23.2 79.8 0 13 10 BAIK 
78 BANDUNG 2019-05-19 19:34:18 2.28 0.42 22.24 20.7 26.927 396.95 249.882 0 0 0 5.57 0 23.2 70.8 0.9 12 13 BAIK 
79 BANDUNG 2019-05-19 19:49:18 0.69 0.36 26.92 20.09 32.615 399.85 249.579 0 0 0 8.44 0 23.1 80.5 1.2 12 13 BAIK 
80 BANDUNG 2019-05-19 20:04:19 2.81 0.29 17.03 19.94 29.961 404.95 249.844 0 0 0 2.65 0 25.3 83.2 0.9 8 12 BAIK 
81 BANDUNG 2019-05-19 20:19:19 5.93 0.32 15.59 24.46 23.893 408.74 249.937 0 0 0 1.71 0 25.3 83.5 1.35 8 15 BAIK 
82 BANDUNG 2019-05-19 20:34:18 1.06 0.35 20.98 13.46 43.613 396.49 250.209 0 0 0 18.06 0 25.3 84.1 1.725 9 18 BAIK 
83 BANDUNG 2019-05-19 20:49:18 1.32 0.36 18.64 18.13 28.444 399.2 249.742 0 0 0 13.71 0 25.3 86.6 1.125 9 14 BAIK 
84 BANDUNG 2019-05-19 21:04:18 11.55 0.37 4.8 21.9 39.821 395.08 250.418 0 0 0 8.69 0 25 87.1 1.275 8 14 BAIK 
85 BANDUNG 2019-05-19 21:19:19 3.71 0.29 15.23 19.79 41.338 399.2 249.638 0 0 0 2.57 0 24.6 91 1.425 8 12 BAIK 
86 BANDUNG 2019-05-19 21:34:18 2.28 0.28 25.48 20.54 45.13 402.09 249.767 0 0 0 2.42 0 24.3 85.1 0.6 8 13 BAIK 
87 BANDUNG 2019-05-19 21:49:18 12.92 0.39 22.6 21.6 47.785 387.58 250.83 0 0 0 11.41 0 23.8 100 1.35 8 14 BAIK 
88 BANDUNG 2019-05-19 22:04:18 7.89 0.43 17.39 10.45 53.474 398.42 249.704 0 0 0 1.18 0 7.5 100 1.875 8 7 BAIK 
89 BANDUNG 2019-05-19 22:19:18 4.18 0.33 21.34 16.17 31.478 403.81 249.64 0 0 0 0.69 0 24.6 100 1.575 8 10 BAIK 
90 BANDUNG 2019-05-19 22:34:18 11.49 0.57 18.28 13.31 26.547 406.96 249.692 0 0 0 1.89 0 23.9 100 2.1 8 8 BAIK 
91 BANDUNG 2019-05-19 22:49:18 16.26 0.47 20.44 4.42 41.717 398.95 249.565 0 0 0 19.32 0 23.8 100 1.65 8 19 BAIK 
92 BANDUNG 2019-05-19 23:04:18 10.06 0.49 15.05 34.86 42.476 387.78 249.685 0 0 0 2.62 0 23.8 100 1.5 8 22 BAIK 
93 BANDUNG 2019-05-19 23:19:18 11.23 0.3 17.57 18.89 58.783 399.39 249.932 0 0 0 1.21 0 23.6 100 2.4 8 12 BAIK 
94 BANDUNG 2019-05-19 23:34:18 17.06 0.27 18.82 18.13 24.651 403.51 249.424 0 0 0 4.27 0 23.6 100 2.925 8 11 BAIK 
95 BANDUNG 2019-05-19 23:49:19 0.58 0.23 16.67 5.48 38.304 409.06 249.512 0 0 0 3.94 0 23.7 100 1.125 8 4 BAIK 
96 BANDUNG 2019-05-20 00:04:18 14.57 0.26 24.94 27.93 46.268 379.18 249.547 0 0 0 5.91 0 23.9 100 1.725 12 17 BAIK 
97 BANDUNG 2019-05-20 00:14:54 1.8 0.24 19.36 34.41 63.334 383.01 249.656 0 0 0 1.35 0 23.5 100 0 2 22 BAIK 
98 BANDUNG 2019-05-20 00:34:18 7.73 0.24 24.4 18.43 19.721 390.88 249.534 0 0 0 4.04 0 23.3 90 0.225 12 12 BAIK 
99 BANDUNG 2019-05-20 00:49:18 14.88 0.21 15.77 10.3 66.368 390.11 249.284 0 0 0 3.33 0 23.2 100 1.275 12 6 BAIK 
100 BANDUNG 2019-05-20 01:04:18 1.64 0.16 22.78 18.74 45.889 396.91 248.706 0 0 0 8.06 0 23.2 80 0.225 11 12 BAIK 
101 BANDUNG 2019-05-20 01:19:17 2.33 0.15 23.86 24.46 42.855 385.43 249.068 0 0 0 4.44 0 22.8 100 0.225 11 15 BAIK 
102 BANDUNG 2019-05-20 01:34:18 8.79 0.08 26.2 24.76 45.51 405.8 249.303 0 0 0 3.08 0 22.7 100 0.375 11 15 BAIK 
103 BANDUNG 2019-05-20 01:49:18 4.08 0.05 12.17 3.67 43.234 401.37 248.892 0 0 0 3.2 0 22.6 100 0.9 11 3 BAIK 
104 BANDUNG 2019-05-20 02:04:18 3.87 0.03 19.18 13.46 59.921 391.52 248.786 0 0 0 0.84 0 20 100 0.525 11 8 BAIK 
105 BANDUNG 2019-05-20 02:19:18 0.05 0.09 22.6 19.94 47.406 399.86 249.352 0 0 0 14.07 0 22.2 90 0.675 11 14 BAIK 
106 BANDUNG 2019-05-20 02:34:18 4.5 0.06 23.68 28.68 43.234 388.53 248.984 0 0 0 2.47 0 22.2 100 0.675 11 18 BAIK 
107 BANDUNG 2019-05-20 02:49:18 19.44 0.02 21.52 15.27 36.408 390.21 249.683 0 0 0 6.77 0 22.2 100 0.15 11 10 BAIK 
108 BANDUNG 2019-05-20 03:04:18 2.75 0.01 19.72 15.12 54.612 383.18 250.215 0 0 0 5.94 0 21.9 100 0.15 12 9 BAIK 
109 BANDUNG 2019-05-20 03:19:18 6.57 0 24.04 24.16 34.132 408 250.138 0 0 0 5.42 0 19.5 100 0.525 12 15 BAIK 
110 BANDUNG 2019-05-20 03:34:18 13.08 0.02 19.54 8.04 64.851 397.92 250.295 0 0 0 6.14 0 21.5 100 0.45 12 6 BAIK 
111 BANDUNG 2019-05-20 03:49:18 4.18 0.02 18.28 15.12 74.712 401.72 250.719 0 0 0 6.79 0 21.2 100 0 12 9 BAIK 
112 BANDUNG 2019-05-20 04:04:18 4.98 0.03 23.32 34.41 37.166 389.22 250.71 0 0 0 2 0 21.3 100 0.15 12 22 BAIK 
113 BANDUNG 2019-05-20 04:19:18 20.23 0.01 34.47 24.61 51.578 405.28 250.698 0 0 0 8.54 0 21.2 90 0.075 12 15 BAIK 
114 BANDUNG 2019-05-20 04:34:18 23.78 0.03 17.21 23.11 49.681 399.91 249.906 0 0 0 11.04 0 18.9 100 0.675 12 14 BAIK 
115 BANDUNG 2019-05-20 04:49:18 5.19 0.12 23.5 20.54 42.855 397.36 250.438 0 0 0 3.7 0 20.7 100 0.9 12 13 BAIK 
116 BANDUNG 2019-05-20 05:04:17 0.85 0.24 20.62 14.52 47.785 398.89 249.54 0 0 0 1.65 0 20.5 100 0.15 12 9 BAIK 
117 BANDUNG 2019-05-20 05:19:18 17.11 0.42 29.26 25.22 47.406 389.81 250.285 0 0 0 5.35 0 20.5 100 0.525 12 16 BAIK 
118 BANDUNG 2019-05-20 05:34:18 15.31 0.52 19.9 18.28 31.478 391.41 250.343 0 0 0 2.84 0 18.5 90 0.3 12 11 BAIK 
119 BANDUNG 2019-05-20 05:49:18 13.14 0.48 11.27 15.57 10.998 392.82 250.353 0 0 0 1.18 0 21 100 0 12 10 BAIK 
120 BANDUNG 2019-05-20 06:04:18 35.01 0.67 25.84 35.16 31.098 403.33 250.075 0 0 0 6.28 0 20.4 100 0.375 12 22 BAIK 
121 BANDUNG 2019-05-20 06:19:17 6.14 0.73 15.59 6.68 47.785 400.32 250.288 0 0 0 5.35 0 20.8 100 0.525 12 7 BAIK 
122 BANDUNG 2019-05-20 06:34:18 13.45 0.78 14.15 10.3 41.717 391.39 249.631 0 0 0 6.31 0 19.2 100 0.45 12 8 BAIK 
123 BANDUNG 2019-05-20 06:49:18 2.01 0.66 22.6 24.46 42.476 400.57 250.087 0 0 0 16.14 0 21.7 90 0.3 12 16 BAIK 
124 BANDUNG 2019-05-20 07:04:18 7.84 0.42 17.93 20.85 22.376 402.61 250.612 0 0 0 4.84 0 22.3 98 0.075 12 13 BAIK 
125 BANDUNG 2019-05-20 07:19:18 7.52 0.52 15.05 20.85 49.302 407.13 250.396 0 0 0 9.81 0 23.4 91.8 0.075 12 13 BAIK 
126 BANDUNG 2019-05-20 07:34:17 15.63 0.44 22.24 26.72 22.755 395.62 250.13 0 0 0 3.01 0 24 87.9 0.225 7 17 BAIK 
127 BANDUNG 2019-05-20 07:45:32 8.37 0.36 13.25 20.85 45.889 395.15 2004.53 0 0 0 6.31 0 191.9 692.4 0 7 13 BAIK 
128 BANDUNG 2019-05-20 08:04:18 1.54 0.33 20.8 13.16 37.546 399.74 250.387 0 0 0 14.3 0 24.6 81.8 0.75 5 14 BAIK 
129 BANDUNG 2019-05-20 08:19:18 0.42 0.27 29.26 3.52 44.372 402.44 249.853 0 0 0 3.02 0 25.6 78.2 1.425 5 5 BAIK 
130 BANDUNG 2019-05-20 08:30:21 3.76 0.34 22.6 30.04 20.1 380.99 1495.66 0 0 0 5.45 0 157.1 452.2 0 7 19 BAIK 
131 BANDUNG 2019-05-20 08:49:17 8.48 0.26 17.93 19.94 47.406 382.22 248.151 0 0 0 8.92 0 26.4 72.6 5.55 5 12 BAIK 
132 BANDUNG 2019-05-20 09:04:18 9.64 0.3 27.28 22.96 17.066 394.31 249.618 0 0 0 16 0 27.1 69 2.7 6 16 BAIK 
133 BANDUNG 2019-05-20 09:19:18 4.98 0.22 24.22 16.48 30.719 391.86 249.309 0 0 0 0.73 0 27.1 67.3 3.75 5 10 BAIK 
134 BANDUNG 2019-05-20 09:34:18 12.66 0.19 21.52 24.61 22.755 392.37 248.971 0 0 0 4.22 0 28.4 63.5 3.375 5 15 BAIK 
135 BANDUNG 2019-05-20 09:49:18 4.4 0.14 25.12 5.32 12.894 404.82 248.129 0 0 0 5.99 0 28.6 63.1 3.675 3 6 BAIK 
136 BANDUNG 2019-05-20 10:04:17 12.98 0.14 23.14 16.93 24.651 385.88 248.762 0 0 0 14.11 0 28.9 60.2 4.65 7 14 BAIK 
137 BANDUNG 2019-05-20 10:19:17 8.05 0.12 21.88 10.75 25.03 393.81 248.225 0 0 0 15.55 0 29.3 58.4 1.5 6 16 BAIK 
138 BANDUNG 2019-05-20 10:34:18 3.28 0.52 29.8 14.82 15.17 394.75 248.379 0 0 0 1.99 0 30.1 56.9 1.2 4 9 BAIK 
139 BANDUNG 2019-05-20 10:49:18 5.03 0.26 29.62 8.49 5.689 386.61 249.083 0 0 0 8.49 0 30.5 53.9 4.275 7 8 BAIK 
140 BANDUNG 2019-05-20 11:04:18 8.85 0.2 18.46 11.05 10.619 381.85 249.021 0 0 0 4.13 0 31 51.7 0.6 3 7 BAIK 
141 BANDUNG 2019-05-20 11:19:17 7.42 0.14 20.44 8.79 15.17 387.19 249.117 0 0 0 14.7 0 30.8 51.6 1.95 5 15 BAIK 
142 BANDUNG 2019-05-20 11:34:17 5.67 0.15 24.22 11.2 10.619 398.59 249.114 0 0 0 7.49 0 29.7 56.5 0 8 7 BAIK 
143 BANDUNG 2019-05-20 11:49:18 5.03 0.12 23.86 8.19 21.238 381.15 248.923 0 0 0 12.43 0 29.9 54 2.025 7 12 BAIK 
144 BANDUNG 2019-05-20 12:04:18 1.64 0.05 23.86 8.34 10.998 398.01 248.398 0 0 0 7.29 0 29.7 57.3 2.175 5 7 BAIK 
145 BANDUNG 2019-05-20 12:19:18 1.38 0.13 23.32 18.28 14.032 387.25 247.799 0 0 0 1.32 0 29.5 57.4 4.2 6 11 BAIK 
146 BANDUNG 2019-05-20 12:30:17 0.74 0.05 13.61 9.85 23.513 402.32 1238.02 0 0 0 7.98 0 151.4 254.7 0 4 8 BAIK 
147 BANDUNG 2019-05-20 12:49:17 0.21 0.12 20.8 11.05 19.342 388.91 247.704 0 0 0 6.91 0 30.3 54.9 3.975 4 7 BAIK 
148 BANDUNG 2019-05-20 13:04:18 7.57 0.07 24.22 9.69 21.996 409.18 249.065 0 0 0 2.99 0 30.5 47.7 3.75 5 6 BAIK 
149 BANDUNG 2019-05-20 13:19:18 9.16 0.05 15.05 7.59 16.687 400.3 249.104 0 0 0 16.6 0 30.3 42.6 1.95 10 17 BAIK 
150 BANDUNG 2019-05-20 13:34:17 3.76 0.42 18.11 8.04 21.617 400.5 249.179 0 0 0 2.3 0 29 67.2 3.675 10 5 BAIK 
151 BANDUNG 2019-05-20 13:49:17 2.17 0.41 18.64 9.09 17.445 401.67 249.38 0 0 0 1 0 27.4 71.8 3.975 12 6 BAIK 
152 BANDUNG 2019-05-20 14:04:17 11.86 0.58 19.9 3.11 24.272 380.81 249.469 0 0 0 11.18 0 26.5 73.9 0.9 13 11 BAIK 
153 BANDUNG 2019-05-20 14:19:18 16.47 0.47 15.59 11.05 23.893 406.05 249.807 0 0 0 2.68 0 26.1 80.3 3.9 11 7 BAIK 
154 BANDUNG 2019-05-20 14:34:18 2.81 0.75 10.73 0.2 13.653 388.52 249.754 0 0 0 8.94 0 23.8 100 1.05 13 9 BAIK 
155 BANDUNG 2019-05-20 14:49:17 25.32 0.77 9.83 37.57 7.964 381.52 250.131 0 0 0 10.97 0 23.6 100 1.875 12 23 BAIK 
156 BANDUNG 2019-05-20 15:04:17 30.09 1.08 18.11 11.96 48.923 391.1 249.922 0 0 0 1.38 0 21.6 100 1.275 12 13 BAIK 
157 BANDUNG 2019-05-20 15:19:17 16.9 1.31 20.44 18.59 24.651 393.48 250.105 0 0 0 2.28 0 24 90 0.675 14 13 BAIK 
158 BANDUNG 2019-05-20 15:34:18 28.34 1.19 22.06 11.05 47.027 407 250.407 0 0 0 14.79 0 24.2 100 2.175 14 15 BAIK 
159 BANDUNG 2019-05-20 15:49:18 8.37 1.53 25.12 5.32 31.857 406.81 250.577 0 0 0 18.53 0 25.3 90 1.05 11 19 BAIK 
160 BANDUNG 2019-05-20 16:04:17 11.18 1.87 19.9 15.42 32.615 379.87 250.336 0 0 0 3.7 0 26 83.4 2.85 12 19 BAIK 
161 BANDUNG 2019-05-20 16:19:17 2.17 1.63 15.95 14.82 40.959 387.78 250.133 0 0 0 1.39 0 26.8 89.5 1.425 12 16 BAIK 
162 BANDUNG 2019-05-20 16:34:17 9.48 1.34 15.05 3.97 30.719 384.37 249.531 0 0 0 4.62 0 26.5 91.2 2.25 11 13 BAIK 
163 BANDUNG 2019-05-20 16:49:18 5.35 1.46 17.39 14.97 26.927 391.15 248.954 0 0 0 2.83 0 26.6 85.5 4.725 12 15 BAIK 
164 BANDUNG 2019-05-20 17:04:18 16 1.07 28.9 5.48 43.993 394.63 249.398 0 0 0 1.22 0 23.9 86.2 2.1 11 11 BAIK 
165 BANDUNG 2019-05-20 17:19:18 2.65 1.05 20.26 17.23 40.2 404.69 249.399 0 0 0 3.45 0 26 85.1 0.9 12 11 BAIK 
166 BANDUNG 2019-05-20 17:34:17 0.37 1.25 17.39 14.37 15.928 387.38 249.753 0 0 0 2.63 0 25.7 90 0.975 12 13 BAIK 
167 BANDUNG 2019-05-20 17:49:18 3.13 1.17 19.36 16.02 33.374 385.42 249.674 0 0 0 1.54 0 22.9 83.7 2.325 12 12 BAIK 
